,standar,,term_localName,label,definition,usage,notes,type,controlled_value_string,tdwgutility_organizedInClass,equivalentXPath,SKOS_inSchema,tdwgutility_repeatable,Nuestras notas,examples,database,vann_preferredNamespacePrefix,vann_preferredNamespaceUri,
24,plic: terms,18,demographyAndThreatUnstructured,Unstructured Demography And Threat,demographyAndThreat element in unstructured format. ,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/DemographyAndThreatUnstructured,,,(GM & FP),,plic,plic,http://rs.tdwg.org/plic/terms/,
31,plic: terms,67,legislationUnstructured,Unstructured Legislation,legislation element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationUnstructured,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
33,plic: terms,0,LegislationName,Legislation Name,Word or phrase to designate the law or group of laws.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationName,,,NoFiltrado ,,plic,plic,http://rs.tdwg.org/plic/terms/,
34,plic: terms,0,ProtectionLegalStatus,Protection Legal Status,Description of the legal status.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/ProtectionLegalStatus,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
35,plic: terms,0,LegislationRead,Legislation Read,The oficial document in which the user can read the legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationRead,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
36,plic: terms,0,legislationStatus,Legislation Status,"Whether a piece of legislation is in force, or superseded, etc.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationStatus,,,Status se ha renombrado a legislationStatus el 10/11/2022,,plic,plic,http://rs.tdwg.org/plic/terms/,
37,plic: terms,0,legislationType,Legislation Type,Category of the piece of legislation.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegislationType,,,Type se ha renombrado a legislationType el 10/11/2022,,plic,plic,http://rs.tdwg.org/plic/terms/,
38,plic: terms,0,legalNorm,Legal Norm,"Norms are general legal principles that are widely accepted. This acceptance is evidenced in a number of ways, such as international agreements, national legislation, domestic and international judicial decisions, and scholarly writings.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DemographyAndThreat,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/LegalNorm,,,Norm se ha renombrado a legalNorm el 10/11/2022,,plic,plic,http://rs.tdwg.org/plic/terms/,
40,plic: terms,26,DispersalUnstructured,Unstructured Dispersal,Dispersal element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalUnstructured,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
41,plic: terms,0,Purpose,Purpose,Makes reference to any data being measured.,,It includes elements of type MeasurementOrFact,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Dispersal,/Dataset/Metadata/dataset/purpose|/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Purpose,,,"""No filtrar"" NoFiltrado: Agregado hace parte de Dispersal <-- eso es con otro criterio; ahora lo dejamos porque es una ""hoja"" (GM & FP)",,plic,plic,http://rs.tdwg.org/plic/terms/,
42,plic: terms,0,DispersalMeans,Dispersal Means,"VCR. Zoochory, Anemochory, Hydrochory, Barochory, Autochory.",,"Type of dispersal, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/DispersalMeans,,,NoFiltrado. ¿renombrar a dispersalType?  (GM & FP). Decimos que sí en la reunión todos (05/05/2022),,plic,plic,http://rs.tdwg.org/plic/terms/,
43,plic: terms,0,StructureDispersed,Structure Dispersed ,"VCR: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals.",,"Structured that is dispersed for a given biologial propose, a controlled vocabulary is recommended.",http://www.w3.org/2004/02/skos/core#ConceptScheme ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/StructureDispersed,,,No Filtrado: Agregado hace parte de Dispersal <- criterio,,plic,plic,http://rs.tdwg.org/plic/terms/,
44,plic: terms,0,Distance,Distance,The distance reached by the structured dispersed.,,It includes elements of type MeasurementOrFact,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,Dispersal,/Dataset/TaxonRecord/NaturalHistory/Dispersal/DispersalAtomized/Distance,,,NoFiltrado: Agregado hace parte de Dispersal <- no. De los de William,Dispersal distance. e.g. 450 m. ,plic,plic,http://rs.tdwg.org/plic/terms/,
45,plic: terms,0,FeedingType,Feeding Type,Primary diet source. A controlled vocabulary is recommended.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingAtomized/FeedingType,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
46,plic: terms,30,ecologicalSignificanceAtomized,Atomized Ecological Significance,Ecological Significance element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceAtomized,,,Se mantiene porque todos los elementos que incuyen son de otro estándar (dwc) revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
47,plic: terms,31,ecologicalSignificanceUnstructured,Unstructured Ecological Significance,Ecological Significance element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EcologicalSignificance,/Dataset/TaxonRecord/NaturalHistory/EcologicalSignificance/EcologicalSignificanceUnstructured,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
48,plic: terms,35,environmentalEnvelopeAtomized,Atomized Environmental Envelope,Environmental envelope of a species expressed as an enumeration of measures and parameters.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeAtomized,,,Se mantiene porque todos los elementos que incuyen son de otro estándar (dwc) revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
49,plic: terms,36,environmentalEnvelopeUnstructured,Unstructured Environmental Envelope,environmentalEnvelope as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,EnvironmentalEnvelope,/Dataset/TaxonRecord/NaturalHistory/EnvironmentalEnvelope/EnvironmentalEnvelopeUnstructured,,,NoFiltrado,,plic,plic,http://rs.tdwg.org/plic/terms/,
51,plic: terms,40,feedingUnstructured,Unstructured Feeding,feeding element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Feeding,/Dataset/TaxonRecord/NaturalHistory/Feeding/FeedingUnstructured,,,Visto GM & FP,,plic,plic,http://rs.tdwg.org/plic/terms/,
52,plic: terms,28,DistributionUnstructured,Unstructured Distribution,Distribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionUnstructured|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionUnstructured|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionUnstructured,,,Visto GM & FP,,plic,plic,http://rs.tdwg.org/plic/terms/,
54,plic: terms,0,DistributionScope,Distribution Scope,List of regions structured and categorized., ,"A controlled vocabulary is recommended. e.g. Historical, Current, Restricted and Wide. ",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/DistributionScope|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionScope|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionScope,,,Agregado hace parte de Dispersal,,plic,plic,http://rs.tdwg.org/plic/terms/,
1056,plic: terms,0,TemporalCoverage,Temporal Coverage,"This field specifies temporal coverage of the distribution, and allows coverages to be a single point in time, multiple points in time, or a range of dates.",,From GBIF EML profile,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/temporalCoverage|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/temporalCoverage|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/temporalCoverage|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/temporalCoverage,,,"""No filtrar"" (incluye rangeOfDates, singleDateTime que son eml)",,plic,plic,http://rs.tdwg.org/plic/terms/,
59,plic: terms,0,GeographicEntity,Geographic Entity,Name of the geographic entity. ,,A controlled vocabulary --as specified in the Catalogue element-- is recommended. e.g. Spain; Aguascalientas; Alabama; Ambon,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property ,,HabitatAndDistribution,/Dataset/TaxonRecord/DemographyAndThreat/Legislation/LegislationAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/DemographyAndThreat/ThreatStatus/ThreatStatusAtomized/AppliesTo/Distribution/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/NomenclatureAndClassification/CommonNames/CommonNamesAtomized/UsedIn/DistributionAtomized/GeographicEntity|/Dataset/TaxonRecord/HabitatAndDistribution/Distribution/DistributionAtomized/GeographicEntity,,,Se mantiene porque es una hoja (17.11.22),,plic,plic,http://rs.tdwg.org/plic/terms/,
66,plic: terms,0,EndemicTo,Endemic To,A territory in which an endemic species appear. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"Examples: Giant panda (Ailuropoda melanoleuca (David, 1869) endemic to China. Quetzal Resplendent (Pharomachrus mocinno de la Llave, 1832) endemic to Mexico, Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica and Panama.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicTo,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
67,plic: terms,0,EndemicIn,Endemic In,The area that works as a context for specifying endemic areas of a species. A controlled vocabulary is recommended. The term may go from local to above-country levels.,,"If not specified, the Earth as a whole is assumed as the geographical context. Examples:  Vicuña (Vicugna vicugna Molina, 1782) endemic to the Andean region **in South America**. Manzanilla Real (Artemisia granatensis Boiss.) endemic in the peaks of Sierra Nevada (**in Spain**).",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicAtomized/EndemicIn,,,Agregado,,plic,plic,http://rs.tdwg.org/plic/terms/,
68,plic: terms,37,endemicUnstructured,Unstructured Endemic,Information on the endemicity of a species as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Endemic/EndemicUnstructured,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
69,plic: terms,44,habitatAtomized,Atomized Habitat,habitatAndDistribution element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatAtomized,,,Se mantiene porque todos los elementos que incuyen son de otro estándar (dwc) revisado 17.11.22,,plic,plic,http://rs.tdwg.org/plic/terms/,
70,plic: terms,46,habitatAndDistributionUnstructured,Unstructured Habitat And Distribution,habitatAndDistribution element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/HabitatAndDistributionUnstructured,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
74,plic: terms,48,habitatUnstructured,Unstructured Habitat,habitat element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HabitatAndDistribution,/Dataset/TaxonRecord/HabitatAndDistribution/Habitats/HabitatUnstructured,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
76,plic: terms,0,SpeciesInteraction,Species Interaction ,"Information category concerning relations between resources (instances or records, such as Occurrences, Taxa, Locations, Events,...).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/SpeciesInteraction,,,"""No Filtrar"": MorF... "" hoja",,plic,plic,http://rs.tdwg.org/plic/terms/,
77,plic: terms,0,SpeciesInteractionType,Species Interaction Type,String with the type of interaction. Each element is separated by comma and each list of elements by.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Interactions,/Dataset/TaxonRecord/NaturalHistory/Interactions/InteractionAtomized/SpeciesInteractionType,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
79,plic: terms,56,invasivenessUnstructured,Unstructured Invasiveness,invasiveness element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessUnstructured,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
94,plic: terms,0,WhatImpact,What Impact,"An indication of the actual impact as a free text string. e.g. destroys  riparian vegetation, destroys irrigation systems, displaces Arvicola  sapidus.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/WhatImpact,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
95,plic: terms,0,vector,Vector,"By which means a species occupies a new territory. e.g. fishing boats; dirty boots, cars (Aedes albopictus).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/vector,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
96,plic: terms,0,Route,Route,This is equivalent and probably replaceable by gisin:route.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/Route,,,Visto GM FP: Agregado hace parte de Invasivness.,,plic,plic,http://rs.tdwg.org/plic/terms/,
97,plic: terms,0,impactTarget,Impact Target,This is equivalent and probably replaceable by gisin:impactTarget.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactTarget,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
98,plic: terms,0,impactMechanism,Impact Mechanism,Mechanism of introduction or impact to a new location.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Invasiveness,/Dataset/TaxonRecord/Invasiveness/InvasivenessAtomized/impactMechanism,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
99,plic: terms,62,lifeCycleAtomized,Atomized Life Cycle,lifeCycle element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeCycle,/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleAtomized,,,"""No filtrar"" (aquellos atomized que tengan dwc dentro de measurementorFact y ancillaryData se mantienen)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1100,plic: terms,63,lifeCycleUnstructured,Unstructured Life Cycle,lifeCycle element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeCycle,/Dataset/TaxonRecord/NaturalHistory/LifeCycle/LifeCycleUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1101,plic: terms,64,lifeFormAtomized,Atomized Life Form,lifeCycleForm element in structured format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeForm,/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormAtomized,,,"MM debe mantenerse pero  el organizedInclass debe ser LifeForm (corregido). ""No filtrar"" MM revisado 17.11.22",,plic,plic,http://rs.tdwg.org/plic/terms/,
1102,plic: terms,65,lifeFormUnstructured,Unstructured Life Form,lifeCycleForm element in text block format.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,LifeForm,/Dataset/TaxonRecord/NaturalHistory/LifeForm/LifeFormUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
103,plic: terms,3,citation,Citation,"A single citation for use when citing the dataset. e.g. http://www.researchgate.net/publication/28271701_Sobre_la_presencia_de_Callithamnion_sepositum_%28Ceramiales_Rhodophyta%29_en_las_costas_de_la_Pennsula_Ibrica Type: xs:anyURY. A URI, DOI or other persistent identifier for the citation.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatasetMetadata,/Dataset/Metadata/citation,,,Filtrado. Procede de GBIF EML profile,,plic,plic,http://rs.tdwg.org/plic/terms/,
106,plic: terms,0,Dataset_ID,Dataset ID,An identifier for the dataset.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatasetMetadata,/Dataset/Metadata/Dataset_ID,,,,,plic,plic,http://rs.tdwg.org/plic/terms/,
108,plic: terms,0,Dataset,dataset,The dataset element is a wrapper for all other elements relating to a single dataset as defined in eml.xsd (eml/dataset).,,corresponds to https://eml.ecoinformatics.org/schema/,http://www.w3.org/1999/02/22-rdf-syntax-ns#Class,,Metadata,/Dataset|/Dataset/Metadata/dataset,,,Filtrado: Se filtra Dataset en mayúscula ya que es un wrapper y no un elemento se deja dataset en minúscula 2023-06-29,,plic,plic,http://rs.tdwg.org/plic/terms/,
?,eml: terms,0,dataset,dataset,The dataset element is a wrapper for all other elements relating to a single dataset as defined in eml.xsd (eml/dataset).,,From eml,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatasetMetadata,/Dataset|/Dataset/Metadata/dataset,,,"Filtrado. Se crea dataset en minúscula 2023-06-29, se elimina xpath /Dataset/Metadata/dataset/coverage/temporalCoverage 2023-06-29. Luego, el 31/08/2023 se decide quitar dataset porque es un elemento de eml",,plic,plic,http://rs.tdwg.org/plic/terms/,
1109,plic: terms,0,resourceLogoUrl,resourceLogoUrl,The URI of an icon/logo symbolizing the project.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DatasetMetadata,/Dataset/Metadata/resourceLogoUrl,,,"MM no hay que filtrarlo ""No filtrar"" (MM)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1111,plic: terms,75,migratoryUnstructured,unstructured migratory,"The regular, usually seasonal, movement of all or part of an animal population to and from a given area, which can occur in variable periods of time and even involve more than one generation as text block.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1112,plic: terms,0,Causes,Causes,Reasons for the species to move from one place to another in a specific lap.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Causes,,yes,"Agregado hace parte de migratory ""No filtrar""",,plic,plic,http://rs.tdwg.org/plic/terms/,
1113,plic: terms,0,Patterns,Patterns,Displacement of the species in space.,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Patterns,,,"MM no hay que filtrarlo  ""No filtrar"" (MM)",,plic,plic,http://rs.tdwg.org/plic/terms/,
114,plic: terms,0,Routes,Routes,Trajectory followed by the species.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Routes,,,"Visto GM FP: Agregado hace parte de migratory ""No filtrar"" (MM)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1115,plic: terms,0,Season,Season,Time of year in which a species migrates.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Migratory,/Dataset/TaxonRecord/NaturalHistory/Migratory/MigratoryAtomized/Season,,,"Agregado hace parte de migratory. MM no hay que filtrarlo. ""No filtrar"" (MM)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1116,plic: terms,78,MolecularDataAtomized,atomized molecular data,MolecularData element in structured format.,,It includes elements of type MeasurementOrFact,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataAtomized,,,"""No filtrar""  (los atomized que tengan dwc dentro de measurementorFact y ancillaryData se mantienen)",,plic,plic,http://rs.tdwg.org/plic/terms/,
1117,plic: terms,79,MolecularDataUnstructured,unstructured molecular data,MolecularData as a text block.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,MolecularData,/Dataset/TaxonRecord/NaturalHistory/MolecularData/MolecularDataUnstructured,,,"MM no debería estar filtrado. ""No Filtrar"" (todos los unstructured se mantienen 16/11/22)",,plic,plic,http://rs.tdwg.org/plic/terms/,
